start_name,end_name,time_seconds
中大雲鼎,客家學院,71
環工所,大型力學實驗室,89
大型力學實驗室,環工所,89
環工所,工程三館(機械館),91
工程三館(機械館),環工所,91
大型力學實驗室,工程三館(機械館),76
工程三館(機械館),大型力學實驗室,76
工程五館,前瞻科技研究中心,49
前瞻科技研究中心,工程五館,49
大講堂,行政大樓,123
行政大樓,大講堂,123
大講堂,男五舍,119
男五舍,大講堂,119
大講堂,男六舍,122
男六舍,大講堂,122
大講堂,男13舍,70
男13舍,大講堂,70
大講堂,據德樓,40
據德樓,大講堂,40
工程一館,通訊系,82
通訊系,工程一館,82
工程一館,電機系,105
電機系,工程一館,105
工程一館,教學研究綜合大樓,117
教學研究綜合大樓,工程一館,117
工程一館,大禮堂,85
大禮堂,工程一館,85
工程一館,女一舍,97
女一舍,工程一館,97
工程一館,女二舍,122
女二舍,工程一館,122
工程一館,女三舍,109
女三舍,工程一館,109
通訊系,電機系,25
電機系,通訊系,25
通訊系,教學研究綜合大樓,87
教學研究綜合大樓,通訊系,87
通訊系,大禮堂,101
大禮堂,通訊系,101
通訊系,女一舍,107
女一舍,通訊系,107
通訊系,女二舍,91
女二舍,通訊系,91
通訊系,女三舍,117
女三舍,通訊系,117
通訊系,女四舍,110
女四舍,通訊系,110
通訊系,單二舍,112
單二舍,通訊系,112
通訊系,單四舍,115
單四舍,通訊系,115
通訊系,漢堡王,99
漢堡王,通訊系,99
通訊系,全家便利商店(中大店),98
全家便利商店(中大店),通訊系,98
通訊系,麥味登,87
麥味登,通訊系,87
通訊系,松院餐廳,93
松院餐廳,通訊系,93
通訊系,路易莎咖啡,91
路易莎咖啡,通訊系,91
電機系,教學研究綜合大樓,81
教學研究綜合大樓,電機系,81
電機系,大禮堂,108
大禮堂,電機系,108
電機系,女二舍,104
女二舍,電機系,104
電機系,女四舍,123
女四舍,電機系,123
電機系,單二舍,104
單二舍,電機系,104
電機系,單四舍,102
單四舍,電機系,102
電機系,漢堡王,84
漢堡王,電機系,84
電機系,全家便利商店(中大店),81
全家便利商店(中大店),電機系,81
電機系,麥味登,71
麥味登,電機系,71
電機系,松院餐廳,76
松院餐廳,電機系,76
電機系,路易莎咖啡,76
路易莎咖啡,電機系,76
人文社會科學大樓,行政大樓,97
行政大樓,人文社會科學大樓,97
人文社會科學大樓,男九舍,113
男九舍,人文社會科學大樓,113
人文社會科學大樓,香米便當,82
香米便當,人文社會科學大樓,82
科五館(S5),理學院教學館(普化實驗大樓),30
理學院教學館(普化實驗大樓),科五館(S5),30
科五館(S5),科三館,73
科三館,科五館(S5),73
理學院教學館(普化實驗大樓),科三館,65
科三館,理學院教學館(普化實驗大樓),65
教學研究綜合大樓,大禮堂,54
大禮堂,教學研究綜合大樓,54
男三舍,女一舍,109
女一舍,男三舍,109
男三舍,女三舍,103
女三舍,男三舍,103
男三舍,女十四舍,83
女十四舍,男三舍,83
男三舍,國際學生宿舍,104
國際學生宿舍,男三舍,104
男三舍,志道樓,39
志道樓,男三舍,39
男三舍,OK超商,35
OK超商,男三舍,35
男三舍,饕客滷味,42
饕客滷味,男三舍,42
男三舍,Ale,90
Ale,男三舍,90
男三舍,韓林,98
韓林,男三舍,98
男三舍,香城燒臘,69
香城燒臘,男三舍,69
男三舍,內卡小館,121
內卡小館,男三舍,121
男三舍,燒餅窯,119
燒餅窯,男三舍,119
男三舍,瑞麟美而美,96
瑞麟美而美,男三舍,96
男三舍,小豬滷味,79
小豬滷味,男三舍,79
男三舍,微笑轉角,76
微笑轉角,男三舍,76
男三舍,霸王,69
霸王,男三舍,69
男三舍,咖哩老師,62
咖哩老師,男三舍,62
男三舍,山頂洞人,57
山頂洞人,男三舍,57
男三舍,小惡魔,50
小惡魔,男三舍,50
男三舍,粥王,42
粥王,男三舍,42
男三舍,銀河炒飯,42
銀河炒飯,男三舍,42
男三舍,一品鍋,30
一品鍋,男三舍,30
男三舍,無敵蛋餅,22
無敵蛋餅,男三舍,22
男三舍,包子饅頭,23
包子饅頭,男三舍,23
男三舍,花茶大師,25
花茶大師,男三舍,25
男三舍,鬼島漢堡,61
鬼島漢堡,男三舍,61
男三舍,雞排車,66
雞排車,男三舍,66
男三舍,一億園,57
一億園,男三舍,57
男三舍,夏克奶茶,54
